a16z||AB|Venture|San Francisco, CA|Ambient.ai|2|2|
Accel|Gonzalo Mocorrea (Growth)|AB|Venture / Growth|San Francisco, CA|Laravel, Testsigma|2|2|
Accel-KKR|Tom Barnds, George Baughan, Phillip Robertson|IM|Buyout|San Francisco, CA / New York, NY||||
Acrew|||Venture|San Francisco, CA|Moderne|||
Acton Capital|Joseph Hefele|MDE|Venture|Munich, Germany||3|2|
Adam Street Growth|Aidan Pak, Thomas Del Mastro|HD, IM|Growth|Menlo Park, CA||1|1|Yes
Addition|Jack Spiegel|MDE|Venture / Growth|New York, NY||1|3|
Albion|Kib Rahman|MDE|Venture|London, UK||3|3|
Aleph|Tomer Diari|AB|Venture|Tel Aviv, Israel|Securithings|2|2|
Alkeon|Josh Shirazi, Moh Sabhani|AB, HD|Growth|San Francisco, CA||3|1|
Altimeter|Apoorv Agarwal, Clark Tang, Will Sheridan|AB, HD|Venture|San Francisco, CA||3|1|
Alumni Ventures|||Venture||Pano AI|||
Amplo|Sam Garcia|MDE|Venture|Austin, TX||2|2|
Ansa Capital|Allan Jean-Baptiste, Josh Chin|TD, HD, MDE|Venture|New York, NY|Selector, AI Squared|1|1|Yes
Anthos|Jeff Stapleton|MDE|Venture / Growth|Los Angeles, CA|Todyl|1|1|
Apollo Global Management|Will Maynard|IM|Buyout|New York, NY||||
Argentum|Jonathan Winfield|MDE|Growth|New York, NY||2|2|
Arthur Ventures|Jeff Yurecko, Nick Goblisch, Jake Olson|AB, NB, MDE|Venture / Growth|Minneapolis, MN||1|3|Yes
Atlantic Bridge|||Venture / Growth|London, UK||2|2|
AVP|Eric Li, Jessica Hayes, Sajan Patel|MDE|Venture|New York, NY|Selector|1|2|
B Capital|Eric Brooke|IM|Venture / Growth|San Francisco, CA||||
Bain Capital Tech Ops|Zach Berger|MDE|Growth|Boston, MA||1|2|
Bain Capital Ventures|Aditya Modak, Saanya Ohja, Amanda Huang|AB, HD, MDE|Venture|San Francisco, CA||2|1|
Balderton|Sivesh Sukumar|MDE|Venture|London, UK||2|3|
Banneker Partners|Matt MacDonald, Daniel Verburg|MDE|Buyout|Portland, OR||3|3|
Base10|Xander Lee|AB, HD|Venture|San Francisco, CA|Flare Systems, Todyl, Riot|1|1|Yes
Battery Ventures|Nikki Hassan, Bridget Bernardo, Matt Dailey, Jack Crockett|NB, IM|Venture / Growth|San Francisco, CA|Mattermost|1|2|Yes
Berkshire Partners|Jon Nuger, John Nelson, Kelly Bojic|MDE|Buyout|Boston, MA||3|2|
Bessemer|Amit Karp (Senior, Israel), Andrew Ren|AB, MDE|Venture / Growth|San Francisco, CA / New York, NY|Prefect|3|2|
Blackstone Growth|Vishal Amin (Senior), Kevin Chang, Bilal Chaudhry, David Kim, Carolien Nowak|AB, HD|Venture / Growth|San Francisco, CA||2|1|
Blu Ventures|Rajiv Mehta, Josh Miller|MDE, HD|Venture|Washington, DC||3|3|
Blue Cloud|Amy Wang|||||||
Boldstart|Shomik Ghosh, Ernest Addison|AB, MDE|Venture|Miami, FL / San Francisco, CA||3|2|
Bregal Sagemount|Gene Yoon (Senior), Gurmaan Bhatia, Dillon Biddiscombe, Brooke Fuller|AB, HD|Buyout|New York, NY / Palo Alto, CA||2|1|
BVP Forge|Adam Dulsky, Owen Isaacs|NB, MDE|Growth / Buyout|San Francisco, CA / New York, NY||2|1|
Capital One Ventures|Fred Kauber|MDE|Venture|New York, NY||2|2|
CapitalG|Josh Shin, James Luo, Mo Jamaa, Conner Lovely, Melody Li|HD, IM, MDE|Growth|San Francisco, CA||2|1|
Carlyle|Alex Cherry|IM|Buyout|New York, NY||2|2|
Centana Growth|Candler Rich, Liam Mickelsen|AB, HD, IM|Growth|San Francisco, CA|Cayosoft|1|2|
Cerberus Ventures|Aidan Bruno|IM|Venture|San Francisco, CA||2|3|
Cervin Ventures|Daniel Karp|MDE|Venture|San Francisco, CA||2|3|
Cisco Investments|Tony Kim|HD|Venture / Growth|San Francisco, CA|Aviz Networks|||
Citi Ventures|Whole Team, Nick Sands|AB, MDE|Venture / Growth|San Francisco, CA / New York, NY|Wealth.com|2|2|
